subregion,country,deaths_among_cases,confirmed_cases,suspected_cases
Non Latin Caribbean,Saint Vincent and the Grenadines,0,0,0
Non Latin Caribbean,Saint Vincent and the Grenadines,0,0,0
Non Latin Caribbean,Saint Vincent and the Grenadines,0,0,0
Non Latin Caribbean,Saint Vincent and the Grenadines,0,0,0
Non Latin Caribbean,Saint Vincent and the Grenadines,0,0,0
Non Latin Caribbean,Saint Vincent and the Grenadines,0,1,0
Latin Caribbean,Dominican Republic,0,0,103
Latin Caribbean,French Guiana,0,3,227
Latin Caribbean,Guadeloupe,0,10,168
Latin Caribbean,Martinique,0,0,1548
Latin Caribbean,Saint Martin,0,8,20
Andean,Colombia,0,33,4699
North America,Mexico,0,27,0
Central America,Nicaragua,0,14,0
Central America,El Salvador,0,3,291
Non Latin Caribbean,Barbados,0,0,2
Andean,Ecuador,0,14,7
Andean,Ecuador,0,1,7
Latin Caribbean,Dominican Republic,0,0,95
Non Latin Caribbean,Barbados,0,0,23
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
Andean,Colombia,0,7,3894
Non Latin Caribbean,Suriname,0,39,227
North America,Mexico,0,22,0
Central America,Honduras,0,0,1086
Andean,Colombia,0,53,1
Andean,Colombia,0,37,1
Andean,Colombia,0,17,1
Andean,Colombia,0,24,0
Andean,Colombia,0,30,5
Andean,Colombia,0,44,9
Andean,Colombia,0,51,13
Andean,Colombia,0,97,42
Latin Caribbean,Martinique,0,0,1640
Latin Caribbean,Guadeloupe,0,31,79
Central America,Honduras,0,0,2166
Central America,Honduras,0,0,1514
Latin Caribbean,French Guiana,0,16,414
Latin Caribbean,Saint Martin,0,2,37
Andean,Ecuador,0,0,7
Central America,El Salvador,0,3,205
Central America,Panamá,0,10,0
Andean,Venezuela,0,44,3656
Andean,Venezuela,0,49,4658
Latin Caribbean,Dominican Republic,0,0,111
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Andean,Bolivia,0,1,0
Central America,Guatemala,0,14,51
Non Latin Caribbean,Dominica,0,0,0
Latin Caribbean,Cuba,0,0,0
South Cone,Paraguay,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,10,0
Latin Caribbean,Haiti,0,0,226
Latin Caribbean,Puerto Rico,0,72,0
Non Latin Caribbean,Suriname,0,0,138
Non Latin Caribbean,United States Virgin Islands,0,2,0
Central America,Nicaragua,0,16,0
Latin Caribbean,Puerto Rico,0,41,0
Central America,El Salvador,0,3,167
Central America,Guatemala,0,13,129
Central America,Guatemala,0,13,77
Non Latin Caribbean,Trinidad and Tobago,0,2,0
Central America,El Salvador,0,3,0
Central America,El Salvador,0,3,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Non Latin Caribbean,Dominica,0,0,0
Central America,Panamá,0,13,0
Latin Caribbean,Guadeloupe,0,11,197
Latin Caribbean,French Guiana,0,24,418
North America,Mexico,0,8,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
Latin Caribbean,Cuba,0,0,0
