VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes albopictus,90,unpublished,polygon,2,-29.46,-50.16,2014,Brazil,BRA,37,NA
Aedes albopictus,91,unpublished,polygon,2,-29.45,-51.09,2014,Brazil,BRA,37,NA
Aedes albopictus,92,unpublished,polygon,2,-29.45,-55.13,2014,Brazil,BRA,37,NA
Aedes albopictus,93,unpublished,polygon,2,-29.45,-52.02,2014,Brazil,BRA,37,NA
Aedes albopictus,94,unpublished,polygon,2,-29.45,-50.09,2014,Brazil,BRA,37,NA
Aedes albopictus,95,unpublished,polygon,2,-29.43,-53.38,2014,Brazil,BRA,37,NA
Aedes albopictus,96,unpublished,polygon,2,-29.38,-52.11,2014,Brazil,BRA,37,NA
Aedes albopictus,97,unpublished,polygon,2,-29.29,-52.92,2014,Brazil,BRA,37,NA
Aedes albopictus,98,unpublished,polygon,2,-29.27,-50,2014,Brazil,BRA,37,NA
Aedes albopictus,99,unpublished,polygon,2,-29.25,-51.59,2014,Brazil,BRA,37,NA
Aedes albopictus,100,unpublished,polygon,2,-29.22,-51.93,2014,Brazil,BRA,37,NA
Aedes albopictus,101,unpublished,polygon,2,-29.21,-50,2014,Brazil,BRA,37,NA
Aedes albopictus,102,unpublished,polygon,2,-29.19,-49.83,2014,Brazil,BRA,37,NA
Aedes albopictus,103,unpublished,polygon,2,-29.15,-49.61,2014,Brazil,BRA,37,NA
Aedes albopictus,104,unpublished,polygon,2,-29.12,-49.74,2014,Brazil,BRA,37,NA
Aedes albopictus,105,unpublished,polygon,2,-29.11,-51.54,2014,Brazil,BRA,37,NA
Aedes albopictus,106,unpublished,polygon,2,-29.08,-49.66,2014,Brazil,BRA,37,NA
Aedes albopictus,107,unpublished,polygon,2,-29.08,-51.04,2014,Brazil,BRA,37,NA
Aedes albopictus,108,unpublished,polygon,2,-29.07,-53.23,2014,Brazil,BRA,37,NA
Aedes albopictus,109,unpublished,polygon,2,-29.02,-49.47,2014,Brazil,BRA,37,NA
Aedes albopictus,110,unpublished,polygon,2,-29,-49.85,2014,Brazil,BRA,37,NA
Aedes albopictus,111,unpublished,polygon,2,-28.98,-51.57,2014,Brazil,BRA,37,NA
Aedes albopictus,112,unpublished,polygon,2,-28.96,-51.05,2014,Brazil,BRA,37,NA
Aedes albopictus,113,unpublished,polygon,2,-28.95,-49.46,2014,Brazil,BRA,37,NA
Aedes albopictus,114,unpublished,polygon,2,-28.89,-49.7,2014,Brazil,BRA,37,NA
Aedes albopictus,115,unpublished,polygon,2,-28.86,-49.46,2014,Brazil,BRA,37,NA
Aedes albopictus,116,unpublished,polygon,2,-28.85,-51.91,2014,Brazil,BRA,37,NA
Aedes albopictus,117,unpublished,polygon,2,-28.83,-49.59,2014,Brazil,BRA,37,NA
Aedes albopictus,118,unpublished,polygon,2,-28.82,-49.85,2014,Brazil,BRA,37,NA
Aedes albopictus,119,unpublished,polygon,2,-28.79,-49.5,2014,Brazil,BRA,37,NA
Aedes albopictus,120,unpublished,polygon,2,-28.78,-49.26,2014,Brazil,BRA,37,NA
Aedes albopictus,121,unpublished,polygon,2,-28.74,-49.36,2014,Brazil,BRA,37,NA
Aedes albopictus,122,unpublished,polygon,2,-28.74,-54.16,2014,Brazil,BRA,37,NA
Aedes albopictus,123,unpublished,polygon,2,-28.74,-49.75,2014,Brazil,BRA,37,NA
Aedes albopictus,124,unpublished,polygon,2,-28.72,-53.52,2014,Brazil,BRA,37,NA
Aedes albopictus,125,unpublished,polygon,2,-28.7,-49.58,2014,Brazil,BRA,37,NA
Aedes albopictus,126,unpublished,polygon,2,-28.67,-49.03,2014,Brazil,BRA,37,NA
Aedes albopictus,127,unpublished,polygon,2,-28.65,-49.13,2014,Brazil,BRA,37,NA
Aedes albopictus,128,unpublished,polygon,2,-28.64,-49.27,2014,Brazil,BRA,37,NA
Aedes albopictus,129,unpublished,polygon,2,-28.6,-49.32,2014,Brazil,BRA,37,NA
Aedes albopictus,130,unpublished,polygon,2,-28.57,-49.14,2014,Brazil,BRA,37,NA
Aedes albopictus,131,unpublished,polygon,2,-28.57,-49.53,2014,Brazil,BRA,37,NA
Aedes albopictus,132,unpublished,polygon,2,-28.51,-49.5,2014,Brazil,BRA,37,NA
Aedes albopictus,133,unpublished,polygon,2,-28.49,-49.32,2014,Brazil,BRA,37,NA
Aedes albopictus,134,unpublished,polygon,2,-28.49,-49.2,2014,Brazil,BRA,37,NA
Aedes albopictus,135,unpublished,polygon,2,-28.48,-49.04,2014,Brazil,BRA,37,NA
Aedes albopictus,136,unpublished,polygon,2,-28.47,-48.83,2014,Brazil,BRA,37,NA
Aedes albopictus,137,unpublished,polygon,2,-28.46,-52.81,2014,Brazil,BRA,37,NA
Aedes albopictus,138,unpublished,polygon,2,-28.45,-48.94,2014,Brazil,BRA,37,NA
Aedes albopictus,139,unpublished,polygon,2,-28.38,-49.45,2014,Brazil,BRA,37,NA
Aedes albopictus,140,unpublished,polygon,2,-28.36,-53.55,2014,Brazil,BRA,37,NA
Aedes albopictus,141,unpublished,polygon,2,-28.35,-49.16,2014,Brazil,BRA,37,NA
Aedes albopictus,142,unpublished,polygon,2,-28.35,-49.02,2014,Brazil,BRA,37,NA
Aedes albopictus,143,unpublished,polygon,2,-28.3,-53.92,2014,Brazil,BRA,37,NA
Aedes albopictus,144,unpublished,polygon,2,-28.28,-49.37,2014,Brazil,BRA,37,NA
Aedes albopictus,145,unpublished,polygon,2,-28.25,-54.32,2014,Brazil,BRA,37,NA
Aedes albopictus,146,unpublished,polygon,2,-28.25,-49.17,2014,Brazil,BRA,37,NA
Aedes albopictus,147,unpublished,polygon,2,-28.23,-49,2014,Brazil,BRA,37,NA
Aedes albopictus,148,unpublished,polygon,2,-28.22,-48.84,2014,Brazil,BRA,37,NA
Aedes albopictus,149,unpublished,polygon,2,-28.21,-48.7,2014,Brazil,BRA,37,NA
Aedes albopictus,150,unpublished,polygon,2,-28.21,-53.73,2014,Brazil,BRA,37,NA
Aedes albopictus,151,unpublished,polygon,2,-28.18,-54.04,2014,Brazil,BRA,37,NA
Aedes albopictus,152,unpublished,polygon,2,-28.16,-53.48,2014,Brazil,BRA,37,NA
Aedes albopictus,153,unpublished,polygon,2,-28.12,-49.31,2014,Brazil,BRA,37,NA
Aedes albopictus,154,unpublished,polygon,2,-28.12,-48.97,2014,Brazil,BRA,37,NA
Aedes albopictus,155,unpublished,polygon,2,-28.08,-49.19,2014,Brazil,BRA,37,NA
Aedes albopictus,156,unpublished,polygon,2,-28.03,-48.66,2014,Brazil,BRA,37,NA
Aedes albopictus,157,unpublished,polygon,2,-28.03,-54.53,2014,Brazil,BRA,37,NA
Aedes albopictus,158,unpublished,polygon,2,-28.01,-49.18,2014,Brazil,BRA,37,NA
Aedes albopictus,159,unpublished,polygon,2,-28,-50.35,2014,Brazil,BRA,37,NA
Aedes albopictus,160,unpublished,polygon,2,-27.98,-53.89,2014,Brazil,BRA,37,NA
Aedes albopictus,161,unpublished,polygon,2,-27.96,-48.94,2014,Brazil,BRA,37,NA
Aedes albopictus,162,unpublished,polygon,2,-27.95,-48.74,2014,Brazil,BRA,37,NA
Aedes albopictus,163,unpublished,polygon,2,-27.93,-52.91,2014,Brazil,BRA,37,NA
Aedes albopictus,164,unpublished,polygon,2,-27.9,-53.73,2014,Brazil,BRA,37,NA
Aedes albopictus,165,unpublished,polygon,2,-27.87,-49.16,2014,Brazil,BRA,37,NA
Aedes albopictus,166,unpublished,polygon,2,-27.84,-54.52,2014,Brazil,BRA,37,NA
Aedes albopictus,167,unpublished,polygon,2,-27.81,-53.65,2014,Brazil,BRA,37,NA
Aedes albopictus,168,unpublished,polygon,2,-27.78,-53.24,2014,Brazil,BRA,37,NA
Aedes albopictus,169,unpublished,polygon,2,-27.76,-48.66,2014,Brazil,BRA,37,NA
Aedes albopictus,170,unpublished,polygon,2,-27.75,-48.92,2014,Brazil,BRA,37,NA
Aedes albopictus,171,unpublished,polygon,2,-27.75,-48.79,2014,Brazil,BRA,37,NA
Aedes albopictus,172,unpublished,polygon,2,-27.74,-54.13,2014,Brazil,BRA,37,NA
Aedes albopictus,173,unpublished,polygon,2,-27.72,-54.27,2014,Brazil,BRA,37,NA
Aedes albopictus,174,unpublished,polygon,2,-27.72,-49.33,2014,Brazil,BRA,37,NA
Aedes albopictus,175,unpublished,polygon,2,-27.7,-53.21,2014,Brazil,BRA,37,NA
Aedes albopictus,176,unpublished,polygon,2,-27.69,-53.01,2014,Brazil,BRA,37,NA
Aedes albopictus,177,unpublished,polygon,2,-27.68,-54.1,2014,Brazil,BRA,37,NA
Aedes albopictus,178,unpublished,polygon,2,-27.68,-49.09,2014,Brazil,BRA,37,NA
Aedes albopictus,179,unpublished,polygon,2,-27.63,-52.25,2014,Brazil,BRA,37,NA
Aedes albopictus,180,unpublished,polygon,2,-27.63,-53.16,2014,Brazil,BRA,37,NA
Aedes albopictus,181,unpublished,polygon,2,-27.61,-48.49,2014,Brazil,BRA,37,NA
Aedes albopictus,182,unpublished,polygon,2,-27.59,-54.3,2014,Brazil,BRA,37,NA
Aedes albopictus,183,unpublished,polygon,2,-27.59,-48.66,2014,Brazil,BRA,37,NA
Aedes albopictus,184,unpublished,polygon,2,-27.59,-49.56,2014,Brazil,BRA,37,NA
Aedes albopictus,185,unpublished,polygon,2,-27.59,-48.84,2014,Brazil,BRA,37,NA
Aedes albopictus,186,unpublished,polygon,2,-27.58,-54.66,2014,Brazil,BRA,37,NA
Aedes albopictus,187,unpublished,polygon,2,-27.58,-53.75,2014,Brazil,BRA,37,NA
Aedes albopictus,188,unpublished,polygon,2,-27.55,-49.69,2014,Brazil,BRA,37,NA
Aedes albopictus,189,unpublished,polygon,2,-27.51,-49.39,2014,Brazil,BRA,37,NA
Aedes albopictus,190,unpublished,polygon,2,-27.5,-53.38,2014,Brazil,BRA,37,NA
Aedes albopictus,191,unpublished,polygon,2,-27.49,-53.52,2014,Brazil,BRA,37,NA
Aedes albopictus,192,unpublished,polygon,2,-27.49,-49.24,2014,Brazil,BRA,37,NA
Aedes albopictus,193,unpublished,polygon,2,-27.49,-51.54,2014,Brazil,BRA,37,NA
Aedes albopictus,194,unpublished,polygon,2,-27.49,-48.82,2014,Brazil,BRA,37,NA
Aedes albopictus,195,unpublished,polygon,2,-27.47,-49.83,2014,Brazil,BRA,37,NA
Aedes albopictus,196,unpublished,polygon,2,-27.46,-53.18,2014,Brazil,BRA,37,NA
Aedes albopictus,197,unpublished,polygon,2,-27.46,-51.78,2014,Brazil,BRA,37,NA
Aedes albopictus,198,unpublished,polygon,2,-27.44,-49.54,2014,Brazil,BRA,37,NA
Aedes albopictus,199,unpublished,polygon,2,-27.44,-49.75,2014,Brazil,BRA,37,NA
Aedes albopictus,200,unpublished,polygon,2,-27.43,-48.71,2014,Brazil,BRA,37,NA
Aedes albopictus,201,unpublished,polygon,2,-27.43,-53.93,2014,Brazil,BRA,37,NA
Aedes albopictus,202,unpublished,polygon,2,-27.43,-51.93,2014,Brazil,BRA,37,NA
Aedes albopictus,203,unpublished,polygon,2,-27.42,-51.64,2014,Brazil,BRA,37,NA
Aedes albopictus,204,unpublished,polygon,2,-27.42,-49.06,2014,Brazil,BRA,37,NA
Aedes albopictus,205,unpublished,polygon,2,-27.42,-51.23,2014,Brazil,BRA,37,NA
Aedes albopictus,206,unpublished,polygon,2,-27.4,-49.35,2014,Brazil,BRA,37,NA
Aedes albopictus,207,unpublished,polygon,2,-27.37,-48.58,2014,Brazil,BRA,37,NA
Aedes albopictus,208,unpublished,polygon,2,-27.37,-51.81,2014,Brazil,BRA,37,NA
Aedes albopictus,209,unpublished,polygon,2,-27.37,-49.9,2014,Brazil,BRA,37,NA
Aedes albopictus,210,unpublished,polygon,2,-27.36,-51.88,2014,Brazil,BRA,37,NA
Aedes albopictus,211,unpublished,polygon,2,-27.36,-53.77,2014,Brazil,BRA,37,NA
Aedes albopictus,212,unpublished,polygon,2,-27.36,-54.11,2014,Brazil,BRA,37,NA
Aedes albopictus,213,unpublished,polygon,2,-27.33,-48.88,2014,Brazil,BRA,37,NA
Aedes albopictus,214,unpublished,polygon,2,-27.33,-54.02,2014,Brazil,BRA,37,NA
Aedes albopictus,215,unpublished,polygon,2,-27.33,-49.59,2014,Brazil,BRA,37,NA
Aedes albopictus,216,unpublished,polygon,2,-27.32,-53.37,2014,Brazil,BRA,37,NA
Aedes albopictus,217,unpublished,polygon,2,-27.32,-49.72,2014,Brazil,BRA,37,NA
Aedes albopictus,218,unpublished,polygon,2,-27.31,-49.82,2014,Brazil,BRA,37,NA
Aedes albopictus,219,unpublished,polygon,2,-27.3,-49.05,2014,Brazil,BRA,37,NA
Aedes albopictus,220,unpublished,polygon,2,-27.3,-49.98,2014,Brazil,BRA,37,NA
Aedes albopictus,221,unpublished,polygon,2,-27.28,-51.42,2014,Brazil,BRA,37,NA
Aedes albopictus,222,unpublished,polygon,2,-27.28,-51.68,2014,Brazil,BRA,37,NA
Aedes albopictus,223,unpublished,polygon,2,-27.26,-53.7,2014,Brazil,BRA,37,NA
Aedes albopictus,224,unpublished,polygon,2,-27.26,-49.34,2014,Brazil,BRA,37,NA
Aedes albopictus,225,unpublished,polygon,2,-27.26,-51.59,2014,Brazil,BRA,37,NA
Aedes albopictus,226,unpublished,polygon,2,-27.26,-53.24,2014,Brazil,BRA,37,NA
Aedes albopictus,227,unpublished,polygon,2,-27.25,-52.32,2014,Brazil,BRA,37,NA
Aedes albopictus,228,unpublished,polygon,2,-27.25,-48.8,2014,Brazil,BRA,37,NA
Aedes albopictus,229,unpublished,polygon,2,-27.24,-48.7,2014,Brazil,BRA,37,NA
Aedes albopictus,230,unpublished,polygon,2,-27.24,-52.03,2014,Brazil,BRA,37,NA
Aedes albopictus,231,unpublished,polygon,2,-27.21,-49.11,2014,Brazil,BRA,37,NA
Aedes albopictus,232,unpublished,polygon,2,-27.2,-49.74,2014,Brazil,BRA,37,NA
Aedes albopictus,233,unpublished,polygon,2,-27.2,-50.93,2014,Brazil,BRA,37,NA
Aedes albopictus,234,unpublished,polygon,2,-27.19,-49.51,2014,Brazil,BRA,37,NA
Aedes albopictus,235,unpublished,polygon,2,-27.19,-51.41,2014,Brazil,BRA,37,NA
Aedes albopictus,236,unpublished,polygon,2,-27.19,-49.62,2014,Brazil,BRA,37,NA
Aedes albopictus,237,unpublished,polygon,2,-27.17,-50.17,2014,Brazil,BRA,37,NA
Aedes albopictus,238,unpublished,polygon,2,-27.17,-48.52,2014,Brazil,BRA,37,NA
Aedes albopictus,239,unpublished,polygon,2,-27.15,-52.92,2014,Brazil,BRA,37,NA
Aedes albopictus,240,unpublished,polygon,2,-27.14,-51.58,2014,Brazil,BRA,37,NA
Aedes albopictus,241,unpublished,polygon,2,-27.14,-51.77,2014,Brazil,BRA,37,NA
Aedes albopictus,242,unpublished,polygon,2,-27.13,-52.17,2014,Brazil,BRA,37,NA
Aedes albopictus,243,unpublished,polygon,2,-27.13,-52.37,2014,Brazil,BRA,37,NA
Aedes albopictus,244,unpublished,polygon,2,-27.13,-48.91,2014,Brazil,BRA,37,NA
Aedes albopictus,245,unpublished,polygon,2,-27.12,-49.36,2014,Brazil,BRA,37,NA
Aedes albopictus,246,unpublished,polygon,2,-27.12,-51.37,2014,Brazil,BRA,37,NA
Aedes albopictus,247,unpublished,polygon,2,-27.11,-52.78,2014,Brazil,BRA,37,NA
Aedes albopictus,248,unpublished,polygon,2,-27.11,-53.69,2014,Brazil,BRA,37,NA
Aedes albopictus,249,unpublished,polygon,2,-27.11,-49.03,2014,Brazil,BRA,37,NA
Aedes albopictus,250,unpublished,polygon,2,-27.11,-52.66,2014,Brazil,BRA,37,NA
Aedes albopictus,251,unpublished,polygon,2,-27.11,-53.44,2014,Brazil,BRA,37,NA
Aedes albopictus,252,unpublished,polygon,2,-27.1,-48.64,2014,Brazil,BRA,37,NA
Aedes albopictus,253,unpublished,polygon,2,-27.1,-51.51,2014,Brazil,BRA,37,NA
Aedes albopictus,254,unpublished,polygon,2,-27.09,-50.1,2014,Brazil,BRA,37,NA
Aedes albopictus,255,unpublished,polygon,2,-27.09,-53.59,2014,Brazil,BRA,37,NA
Aedes albopictus,256,unpublished,polygon,2,-27.08,-53.2,2014,Brazil,BRA,37,NA
Aedes albopictus,257,unpublished,polygon,2,-27.06,-48.71,2014,Brazil,BRA,37,NA
Aedes albopictus,258,unpublished,polygon,2,-27.06,-52.45,2014,Brazil,BRA,37,NA
Aedes albopictus,259,unpublished,polygon,2,-27.05,-51.23,2014,Brazil,BRA,37,NA
Aedes albopictus,260,unpublished,polygon,2,-27.05,-52.97,2014,Brazil,BRA,37,NA
Aedes albopictus,261,unpublished,polygon,2,-27.04,-52.87,2014,Brazil,BRA,37,NA
Aedes albopictus,262,unpublished,polygon,2,-27.04,-49.64,2014,Brazil,BRA,37,NA
Aedes albopictus,263,unpublished,polygon,2,-27.03,-53.03,2014,Brazil,BRA,37,NA
Aedes albopictus,264,unpublished,polygon,2,-27.03,-51.91,2014,Brazil,BRA,37,NA
Aedes albopictus,265,unpublished,polygon,2,-27.03,-53.27,2014,Brazil,BRA,37,NA
Aedes albopictus,266,unpublished,polygon,2,-27.03,-50.87,2014,Brazil,BRA,37,NA
Aedes albopictus,267,unpublished,polygon,2,-27.01,-49.53,2014,Brazil,BRA,37,NA
Aedes albopictus,268,unpublished,polygon,2,-27.01,-53.48,2014,Brazil,BRA,37,NA
Aedes albopictus,269,unpublished,polygon,2,-27.01,-48.63,2014,Brazil,BRA,37,NA
Aedes albopictus,270,unpublished,polygon,2,-27,-49.23,2014,Brazil,BRA,37,NA
Aedes albopictus,271,unpublished,polygon,2,-26.99,-53.65,2014,Brazil,BRA,37,NA
Aedes albopictus,272,unpublished,polygon,2,-26.99,-51.13,2014,Brazil,BRA,37,NA
Aedes albopictus,273,unpublished,polygon,2,-26.99,-49.79,2014,Brazil,BRA,37,NA
Aedes albopictus,274,unpublished,polygon,2,-26.98,-53.35,2014,Brazil,BRA,37,NA
Aedes albopictus,275,unpublished,polygon,2,-26.98,-52.65,2014,Brazil,BRA,37,NA
Aedes albopictus,276,unpublished,polygon,2,-26.98,-53.09,2014,Brazil,BRA,37,NA
Aedes albopictus,277,unpublished,polygon,2,-26.97,-52.54,2014,Brazil,BRA,37,NA
Aedes albopictus,278,unpublished,polygon,2,-26.97,-49.38,2014,Brazil,BRA,37,NA
Aedes albopictus,279,unpublished,polygon,2,-26.97,-48.74,2014,Brazil,BRA,37,NA
Aedes albopictus,280,unpublished,polygon,2,-26.96,-52.84,2014,Brazil,BRA,37,NA
Aedes albopictus,281,unpublished,polygon,2,-26.96,-50.02,2014,Brazil,BRA,37,NA
Aedes albopictus,282,unpublished,polygon,2,-26.94,-49.83,2014,Brazil,BRA,37,NA
Aedes albopictus,283,unpublished,polygon,2,-26.94,-51.49,2014,Brazil,BRA,37,NA
Aedes albopictus,284,unpublished,polygon,2,-26.92,-53.62,2014,Brazil,BRA,37,NA
